Bin	Phylum	Depth	TvC20	TvC40	cynS	nit	URE	amiF	mauAB	qhpA	amo_pmo	hao	nxrAB	narGH	napA	narB	nasA	nirB	nrfA	nirA	nirK	norB	nosZ	xoxF	Fal1	Fal2	Fal3	Fal4	Frm1	Frm2	Frm3	coxL.I	acs
14_0903_02_30cm_Alphaproteobacteria_198_62_6	Alphaproteobacteria	Neither	Neither	Neither	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1
14_0903_02_30cm_Alphaproteobacteria_228_63_6	Alphaproteobacteria	Decrease	Neither	Neither	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
14_0903_02_30cm_Bacteria_162_64_22	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
14_0903_02_30cm_Bacteria_171_59_8	Verrucomicrobia	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Bacteria_174_66_7	Chloroflexi	Increase	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
14_0903_02_30cm_Bacteria_177_54_8	Verrucomicrobia	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Bacteria_192_51_5	Acidobacteria	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Bacteria_194_55_8	Verrucomicrobia	Decrease	Neither	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Bacteria_197_52_10	Acidobacteria	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
14_0903_02_30cm_Bacteria_250_54_7	Verrucomicrobia	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Betaproteobacteria_208_64_9	Betaproteobacteria	Increase	Increase	Neither	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
14_0903_02_30cm_Euryarchaeota_229_65_11	Euryarchaeota	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_02_30cm_Gemmatimonadetes_10587_66_15	Gemmatimonadetes	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1
14_0903_02_30cm_Gemmatimonadetes_167_68_7	Gemmatimonadetes	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1
14_0903_02_30cm_Gemmatimonadetes_202_69_7	Gemmatimonadetes	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1
14_0903_02_30cm_Rickettsiella_grylli_159_36_9	Gammaproteobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_02_30cm_RIF_CHLX_178_69_6	Chloroflexi	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_02_30cm_RIFCSPHIGHO2_12_FULL_Alphaproteobacteria_66_14_curated_201_67_8	Alphaproteobacteria	Neither	Neither	Neither	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1
14_0903_02_30cm_Sphingobacteriales_157_38_13	Bacteroidetes	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
14_0903_02_30cm_Sphingobacteriales_165_43_8	Bacteroidetes	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
14_0903_02_30cm_Sphingobacteriales_181_43_6	Bacteroidetes	Neither	Increase	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14_0903_02_30cm_Sphingobacteriales_221_37_7	Bacteroidetes	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_02_30cm_Sphingomonadales_156_68_15	Alphaproteobacteria	Neither	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
14_0903_02_40cm_Bacteria_9_54_9	Verrucomicrobia	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_05_20cm_Actinobacteria_379_69_8	Actinobacteria	Decrease	Neither	Decrease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1
14_0903_05_20cm_Actinobacteria_401_69_9	Actinobacteria	Decrease	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_05_20cm_Archaea_384_53_7	Bathyarchaeota	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_05_20cm_Bacteria_395_69_9	Acidobacteria	Neither	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1
14_0903_05_20cm_Chloroflexi_387_50_7	Chloroflexi	Neither	Neither	Neither	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_05_20cm_Ktedonobacter_racemifer_407_54_6	Chloroflexi	Decrease	Neither	Decrease	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
14_0903_05_30cm_Bacteria_4558_71_13	Deltaproteobacteria	Neither	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_05_30cm_Bacteria_4594_57_8	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_05_30cm_Betaproteobacteria_4568_66_9	Betaproteobacteria	Increase	Neither	Neither	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1
14_0903_05_30cm_Euryarchaeota_4576_64_18	Euryarchaeota	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
14_0903_05_30cm_Gemmatimonadetes_4557_70_6	Gemmatimonadetes	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1
14_0903_05_30cm_Rokubacteria_4563_69_8	Rokubacteria	Increase	Neither	Neither	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
14_0903_05_40cm_Actinobacteria_485_68_8	Actinobacteria	Neither	Neither	Neither	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
14_0903_05_40cm_Alphaproteobacteria_523_63_8	Alphaproteobacteria	Increase	Neither	Neither	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1
14_0903_05_40cm_Archaea_502_56_8	Thaumarchaeota	Increase	Neither	Neither	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_05_40cm_Bacteria_469_66_9	Chloroflexi	Increase	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
14_0903_05_40cm_Bacteria_483_55_9	Verrucomicrobia	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14_0903_05_40cm_Bacteria_491_65_7	RIF-WS3X	Increase	Neither	Decrease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
14_0903_05_40cm_Bacteria_494_55_10	Verrucomicrobia	Neither	Increase	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_05_40cm_Bacteria_498_68_8	Chloroflexi	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_05_40cm_Bacteria_508_68_7	Chloroflexi	Increase	Neither	Decrease	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_05_40cm_Betaproteobacteria_516_64_10	Betaproteobacteria	Increase	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1
14_0903_05_40cm_Rokubacteria_474_69_10	Rokubacteria	Increase	Neither	Neither	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_09_20cm_Acidobacteria_629_56_6	Acidobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
14_0903_09_20cm_Acidobacteria_635_55_5	Acidobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
14_0903_09_20cm_Archaea_636_52_6	Bathyarchaeota	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14_0903_09_20cm_Bacteria_627_57_7	Acidobacteria	Decrease	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
14_0903_09_20cm_Proteobacteria_630_68_11	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_09_30cm_Acidobacteria_691_56_9	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_09_30cm_Actinobacteria_10591_68_7	Actinobacteria	Neither	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_09_30cm_Bacteria_680_58_11	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_09_30cm_Proteobacteria_684_68_8	Gammaproteobacteria	Decrease	Decrease	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_09_30cm_unknown_10603_52_8	Bathyarchaeota	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_09_40cm_Bacteria_746_68_10	Rokubacteria	Neither	Neither	Decrease	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
14_0903_09_40cm_Bacteria_791_70_6	Deltaproteobacteria	Increase	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_09_40cm_Euryarchaeota_805_64_15	Euryarchaeota	Increase	Neither	Decrease	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
14_0903_09_40cm_Ktedonobacter_racemifer_793_53_7	Chloroflexi	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
14_0903_09_40cm_Nitrospirae_760_61_6	Nitrospirae	Increase	Neither	Neither	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_09_40cm_Nitrospirae_799_56_7	Nitrospirae	Increase	Neither	Neither	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_09_40cm_Proteobacteria_757_70_20	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0
14_0903_09_40cm_Proteobacteria_761_67_12	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_12_20cm_Acidobacteria_891_55_5	Acidobacteria	Neither	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Acidobacteria_902_65_6	Acidobacteria	Neither	Decrease	Decrease	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1
14_0903_12_20cm_Acidobacteria_917_58_8	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1
14_0903_12_20cm_Actinobacteria_894_72_7	Actinobacteria	Neither	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Actinobacteria_927_69_6	Actinobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
14_0903_12_20cm_Bacteria_885_69_7	Chloroflexi	Decrease	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Bacteria_889_69_22	ANGP1	Decrease	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Bacteria_913_55_8	Verrucomicrobia	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Bacteria_924_55_9	Verrucomicrobia	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_20cm_Bacteria_926_65_5	Chloroflexi	Decrease	Neither	Neither	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
14_0903_12_20cm_Betaproteobacteria_919_62_6	Betaproteobacteria	Decrease	Neither	Neither	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
14_0903_12_20cm_Gemmatimonadetes_909_70_19	Gemmatimonadetes	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1
14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11	Chloroflexi	Increase	Decrease	Neither	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_12_20cm_Proteobacteria_893_68_25	Gammaproteobacteria	Decrease	Decrease	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_12_30cm_Acidobacteria_1043_61_10	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14_0903_12_30cm_Acidobacteria_1079_57_7	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_30cm_Acidobacteria_1081_55_6	Acidobacteria	Increase	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
14_0903_12_30cm_Alphaproteobacteria_1062_64_7	Alphaproteobacteria	Increase	Neither	Neither	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
14_0903_12_30cm_Bacteria_1044_57_11	Acidobacteria	Decrease	Decrease	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
14_0903_12_30cm_Bacteria_1047_68_7	Rokubacteria	Increase	Neither	Neither	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_12_30cm_Bacteria_1056_68_10	Rokubacteria	Increase	Neither	Neither	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1
14_0903_12_30cm_Bacteria_1060_56_9	Verrucomicrobia	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_30cm_Bacteria_1092_55_8	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_12_30cm_Bacteria_1108_73_5	Chloroflexi	Neither	Neither	Neither	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
14_0903_12_30cm_Bacteria_1120_68_12	Rokubacteria	Neither	Neither	Decrease	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
14_0903_12_30cm_Betaproteobacteria_1059_67_7	Betaproteobacteria	Decrease	Decrease	Neither	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
14_0903_12_30cm_Betaproteobacteria_1076_65_10	Betaproteobacteria	Increase	Neither	Decrease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1
14_0903_12_30cm_Euryarchaeota_1049_65_11	Euryarchaeota	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
14_0903_12_30cm_Proteobacteria_1046_69_21	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_12_40cm_Acidobacteria_10612_65_12	Acidobacteria	Decrease	Neither	Decrease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_40cm_Acidobacteria_4663_53_8	Acidobacteria	Neither	Neither	Decrease	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
14_0903_12_40cm_Bacteria_10609_55_11	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
14_0903_12_40cm_Bacteria_4661_66_7	Chloroflexi	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8	Chloroflexi	Decrease	Neither	Decrease	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_12_40cm_Solirubrobacterales_4660_72_9	Actinobacteria	Decrease	Decrease	Decrease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14_0903_13_20cm_Acidobacteria_10553_57_8	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_13_20cm_Acidobacteria_1218_57_5	Acidobacteria	Decrease	Increase	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
14_0903_13_20cm_Bacteria_10557_55_8	Verrucomicrobia	Decrease	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_13_20cm_Bacteria_1202_57_11	Acidobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_13_20cm_Proteobacteria_1234_70_6	Deltaproteobacteria	Neither	Increase	Neither	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1
14_0903_13_30cm_Acidobacteria_4806_58_15	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14_0903_13_30cm_Acidobacteria_4851_65_16	Acidobacteria	Increase	Increase	Neither	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1
14_0903_13_30cm_Acidobacteria_4858_56_6	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_13_30cm_Acidobacteria_4908_55_5	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_13_30cm_Acidobacteria_4932_58_16	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_13_30cm_Acidobacteria_4956_65_7	Acidobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
14_0903_13_30cm_Acidobacteria_4990_57_9	Acidobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1
14_0903_13_30cm_Acidobacteria_5024_67_6	Acidobacteria	Increase	Neither	Neither	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14_0903_13_30cm_Acidobacteria_5060_64_8	Acidobacteria	Increase	Increase	Neither	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1
14_0903_13_30cm_Actinobacteria_4855_70_17	Actinobacteria	Decrease	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
14_0903_13_30cm_Actinobacteria_4884_69_8	Actinobacteria	Increase	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
14_0903_13_30cm_Actinobacteria_4916_68_8	Actinobacteria	Increase	Neither	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_13_30cm_Alphaproteobacteria_4799_66_28	Alphaproteobacteria	Neither	Increase	Neither	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
14_0903_13_30cm_Bacteria_4796_57_9	Acidobacteria	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1
14_0903_13_30cm_Bacteria_4803_58_14	Acidobacteria	Increase	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
